sl_no,nbfc_name,regional_office,accepts_deposits,classification,cin,layer
1,1 Finance P2P Private Limited,Ahmedabad,No,P2P,U64990GJ2023PTC146103,Base
2,121 Finance Private Limited (Formerly: Yerrow Finance and Investments Private Limited),Jaipur,No,Factor,U74999RJ1984PTC090806,Base
3,20Th Century Holdings P Ltd.,Mumbai,No,ICC,U67120MH1980PTC022516,Base
4,360 ONE Prime Limited (Formerly : IIFL Wealth Prime Limited and IIFL Wealth Finance Ltd),Mumbai,No,ICC,U65990MH1994PLC080646,Middle
5,4Fin Finance Private Limited,Mumbai,No,ICC,U65990PN2022PTC207883,Base
6,5Paisa P2P Limited,Mumbai,No,P2P,U67120MH2017PLC302564,Base
7,7VIK Finvestment Private Limited,New Delhi,No,ICC,U65999DL2016PTC304205,Base
8,A & A Capital Services Private Ltd.,New Delhi,No,ICC,U74899DL1995PTC068149,Base
9,A & P Exim Pvt. Ltd,Kolkata,No,ICC,U51909WB1992PTC057075,Base
10,A A C Investments Pvt Ltd,Kolkata,No,ICC,U65900WB2008PTC122550,Base
11,A B Constructions Pvt Ltd,Kolkata,No,ICC,U45201WB1988PTC044159,Base
12,A B Fiscal Services Pvt Ltd,Kolkata,No,ICC,U65910WB1991PTC050871,Base
13,A B S Portfolio (P) Ltd,Kolkata,No,ICC,U65910WB1995PTC068678,Base
14,A B S Vipanan Pvt Ltd,Kolkata,No,ICC,U74140WB1994PTC061757,Base
15,A C M Finvests Pvt Ltd,Kolkata,No,ICC,U65993WB1988PTC045003,Base
16,A C Steels & Holdings (P) Ltd (Name as per MCA- A.C. Fincom Private Limited),Kolkata,No,ICC,U27320WB1987PTC043046,Base
17,A J Finance (P) Ltd,Kolkata,No,ICC,U67120WB1994PTC066334,Base
18,A K Capital Finance Limited,Mumbai,No,ICC,U51900MH2006PLC214277,Middle
19,A K Construction Pvt Ltd,Kolkata,No,ICC,U70101WB1995PTC073829,Base
20,A K I Investments Pvt Ltd,Kolkata,No,ICC,U51109WB1995PTC073682,Base
21,A K J Fincap Ltd.,New Delhi,No,ICC,U67190DL1995PLC071546,Base
22,A K S Credits Ltd.,New Delhi,No,ICC,L65921DL1991PLC043544,Base
23,A K Traders (P) Ltd,Kolkata,No,ICC,U51909WB1988PTC045262,Base
24,A N N Capital Finance Private Limited (Formerly known as Jullundur Motor & Land Finance Private Limited),Ahmedabad,No,ICC,U65921GJ1973PTC109641,Base
25,A P Consultants Pvt Ltd,Kolkata,No,ICC,U74140WB1988PTC044101,Base
26,A P Holdings Private Limited,Mumbai,No,ICC,U65993PN1981PTC025915,Base
27,A R C Enterprises (P) Ltd.,Kolkata,No,ICC,U18101WB1996PTC080159,Base
28,A R C Finance Ltd,Kolkata,No,ICC,L51909WB1982PLC035283,Base
29,A R T Leasing Ltd,Thiruvananthapuram,No,ICC,U65910KL1990PLC005904,Base
30,A R Vinimay Pvt Ltd,Kolkata,No,ICC,U51109WB2008PTC121814,Base
31,A S Confin Pvt. Ltd.,Kolkata,No,ICC,U74999WB1993PTC058243,Base
32,A S P Fincap Private Limited,Raipur,No,ICC,U65991CT1995PTC009511,Base
33,A To Z Securities Ltd.,New Delhi,No,ICC,U74899DL1994PLC063412,Base
34,A V Commercial Co Pvt Ltd,Kolkata,No,ICC,U51109WB1992PTC054810,Base
35,A V L Leasing & Finance Limited,New Delhi,No,ICC,U65910DL1990PTC040567,Base
36,A V P Investments Pvt. Ltd.,New Delhi,No,ICC,U74899UP1994PTC125194,Base
37,A V S Finlease Limited,Kolkata,No,ICC,U65921WB1991PLC123341,Base
38,A. C. Choksi Financial Services Pvt. Ltd. (Name as per MCA - DEUS Financial Capital Private Limited),Mumbai,No,ICC,U65990MH2007PTC172294,Base
39,A. T. E. Pvt. Ltd.,Mumbai,No,ICC,U74140MH1971PTC015101,Base
40,A.D.And Associates Finance Private Limited,Kolkata,No,ICC,U65921WB1991PTC158218,Base
41,A.G. Finance and Investments Pvt Ltd (Name as per MCA - A.G. Finance And Leasing Private Limited),Jammu,No,ICC,U65910DL1990PTC041508,Base
42,A.K. Bajaj Investment Private Limited,Kanpur,No,ICC,U65993UP1980PTC004972,Base
43,A.K. Shorewala Securities Ltd.,New Delhi,No,ICC,U74899DL1995PLC068097,Base
44,A.K.G. Securities and Consultancy Limited,New Delhi,No,ICC,U74899DL1994PLC059006,Base
45,A.N.R. Finlease (P) Ltd.,New Delhi,No,ICC,U65921DL1996PTC078455,Base
46,A.R. Leasing Pvt. Ltd.,New Delhi,No,ICC,U65100DL1986PTC024304,Base
47,A.S.P. Investments (P) Ltd.,Kanpur,No,ICC,U65910UP1993PTC015892,Base
48,A.T. Invofin India Pvt Ltd,New Delhi,No,ICC,U67120DL1996PTC080503,Middle
49,A.T.N. Leasing & Finance Ltd.,New Delhi,No,ICC,U74899DL1994PLC059269,Base
50,Aaa Mg Finance Limited,New Delhi,No,ICC,U65910DL2012PLC246206,Base
51,Aachman Vanijya Pvt Ltd.,Kolkata,No,ICC,U74140WB1995PTC073086,Base
52,Aad Finlease (P) Ltd,New Delhi,No,ICC,U65929DL1998PTC091795,Base
53,Aadhar Financial Services Ltd.,New Delhi,No,ICC,U65100DL1995PLC067629,Base
54,Aadhar Housing Finance Limited,Mumbai,No,HFC,L66010KA1990PLC011409,Middle
55,Aadhar India Finvest Limited,New Delhi,No,ICC,U65921HR1989PLC091303,Base
